order_id,order_date,customer_id,product_name,product_category,product_price,items_count,total_amount
019-74-9339,2022-11-25,80129,Spinach,Vegetables,2.49,3,7.47
061-83-1476,2023-12-04,164200,Anker Soundcore Liberty Air 2 Pro,Electronics,129.99,1,129.99
647-02-9732,2023-04-23,69986,Sony WF-1000XM4 Earbuds,Electronics,279.99,8,2239.92
277-75-2435,2023-04-11,81733,Whole Wheat Bread,Bakery,3.99,7,27.93
072-86-0064,2024-04-11,153040,NZXT H510 Elite Case,Electronics,199.99,4,799.96
637-77-0149,2020-04-24,46620,The Alchemist,Books,15.99,10,159.9
784-40-5308,2023-07-04,184400,Samsung 65 4K UHD TV,Electronics,799.99,5,3999.95
870-58-4687,2022-09-29,123411,Onion,Vegetables,0.89,8,7.12
086-26-1658,2022-10-04,172382,Microsoft Xbox Series X,Electronics,499.99,3,1499.97
892-73-4079,2021-04-14,27890,Corsair K95 RGB Platinum Keyboard,Electronics,129.99,3,389.97
486-90-7097,2020-06-24,51549,Anker Soundcore Liberty Air 2 Pro,Electronics,129.99,4,519.96
509-07-1702,2022-09-17,192056,Intel Core i9-10900K Processor,Electronics,349.99,5,1749.95
235-46-3875,2024-04-06,65017,To Kill a Mockingbird,Books,14.99,10,149.9
436-61-5140,2021-03-17,75083,Sony 4K Ultra HD Blu-ray Player,Electronics,249.99,10,2499.9
286-89-8810,2022-05-19,149739,Spinach,Vegetables,2.49,5,12.45
040-50-5322,2021-03-28,2754,Sourdough Bread,Bakery,4.99,7,34.93
592-86-7539,2022-06-20,75582,Amazon Echo Dot (4th Gen),Electronics,49.99,2,99.98
013-10-6010,2020-11-02,194997,Under Armour T-Shirt,Clothes,25.0,1,25.0
269-65-4616,2022-03-07,157214,Sennheiser Momentum True Wireless 2,Electronics,299.99,1,299.99
434-44-6278,2021-01-01,54341,Corsair K95 RGB Platinum Keyboard,Electronics,129.99,2,259.98
308-91-7012,2024-05-31,38925,Ray-Ban Aviator Sunglasses,Clothes,150.0,4,600.0
225-31-7736,2020-09-17,94465,Garlic,Vegetables,0.69,5,3.45
438-12-0506,2020-05-27,192502,Armani Exchange Watch,Clothes,300.0,4,1200.0
543-79-2514,2020-01-26,128459,Lettuce,Vegetables,1.49,5,7.45
717-21-4322,2023-10-17,168977,Banana,Fruits,0.59,9,5.31
528-17-8776,2022-06-12,89736,Columbia Hiking Boots,Clothes,160.0,7,1120.0
332-94-5972,2021-11-24,67508,Muffin,Bakery,2.99,6,17.94
654-64-0989,2023-01-11,44194,GoPro HERO9 Black,Electronics,399.99,9,3599.91
190-65-9299,2024-04-30,51244,Keurig K-Elite Coffee Maker,Home Appliances,159.99,6,959.94
648-28-7867,2023-11-11,23839,The Iliad,Books,15.99,6,95.94
487-62-9468,2023-07-13,2982,Wuthering Heights,Books,13.99,1,13.99
099-13-5604,2024-02-13,4087,Hamilton Beach Juicer,Home Appliances,99.99,5,499.95
720-49-8753,2024-06-22,172678,SteelSeries Arctis 7 Headset,Electronics,249.99,9,2249.91
705-23-9312,2022-08-09,149640,Microsoft Xbox Series X,Electronics,499.99,4,1999.96
707-52-2056,2024-02-07,111141,Burberry Scarf,Clothes,120.0,9,1080.0
556-28-4205,2021-01-10,66201,Peach,Fruits,2.99,7,20.93
577-81-8336,2020-09-26,99429,Levi's 501 Original Jeans,Clothes,60.0,1,60.0
565-19-1922,2023-06-05,26473,Adidas Originals Hoodie,Clothes,90.0,9,810.0
725-63-2327,2020-03-01,105597,The Catcher in the Rye,Books,12.99,2,25.98
677-18-5347,2022-07-21,196936,Chocolate Chip Cookies,Bakery,2.99,6,17.94
466-50-9257,2022-04-05,11196,Spinach,Vegetables,2.49,9,22.41
086-30-1365,2024-05-17,11763,Adidas Originals Hoodie,Clothes,90.0,7,630.0
670-59-5453,2021-10-22,105873,Adidas Originals Hoodie,Clothes,90.0,1,90.0
622-56-0646,2023-11-22,38253,Sony WH-1000XM4 Headphones,Electronics,349.99,10,3499.9
000-42-0955,2020-11-13,123157,The Divine Comedy,Books,30.99,2,61.98
004-04-0462,2023-11-12,3019,To Kill a Mockingbird,Books,14.99,4,59.96
372-19-7903,2020-02-15,143857,Samsung T7 Portable SSD,Electronics,79.99,4,319.96
742-70-2345,2021-04-17,22793,Roomba i7+ Robot Vacuum,Home Appliances,799.99,4,3199.96
788-71-5154,2020-06-27,40074,JBL Charge 4 Speaker,Electronics,149.99,3,449.97
519-88-4689,2022-03-23,65160,Burberry Scarf,Clothes,120.0,1,120.0
367-22-4089,2022-04-06,26141,Pineapple,Fruits,3.99,1,3.99
467-28-0039,2021-01-09,43205,Under Armour T-Shirt,Clothes,25.0,7,175.0
